hypothesis,premise,label
Chien à l'extérieur,Un chien dans la neige.,1
Les gens parlent,Les gens parlent à un événement dans un parc.,0
La fille à tête foncée porte une pizza.,Une jeune fille à tête foncée portant un kimono porte sur elle une pièce d'art jaune avec des dessins noirs et oranges en forme d'un cube attaché à deux petits panneaux en bois.,2
Une femme se trouve à un puits.,Une femme en gris nettoye une brouillarde dans le puits de salle de bains.,0
Le parking a des gens à marcher dans cette zone.,Quelques personnes marchent dans un stationnement.,0
Un homme se tient à l'extérieur.,Un homme en costume noir pose devant la tour eiffel.,0
Une bande joue dans un théâtre.,Une bande joue de la musique dans un parc.,2
L'animal de la femme est froid.,Une femme en veste brune marche sur la neige avec un animal.,1
Un groupe d'enfants sont ensemble.,Plusieurs enfants se trouvent à une table à l'image d'un petit garçon portant une chemise rouge et d'un design blanc sur la caméra.,0
Jeunes garçons guident les chiens sur une route de terre avec une corde.,Un jeune garçon noir guide ses animaux sur une route de terre avec une corde bleue.,1
Un homme joue les tambours dans sa chambre.,Une personne en peau rouge joue une guitare électrique.,2
Un garçon joue avec son ax de jouet.,Un jeune garçon dans un tête rouge tient une axe de jouet.,0
Les filles sont à l'hôpital.,Une fille mettant sur des bottes de cowboy avec une autre fille souriante à l'arrière-plan.,2
l'homme est noir,Un homme de l'équipe de basketball de Miami se prépare à faire un mouvement tout en étant bloqué.,1
un homme porte des chaussures,Un homme portant du bleu et des sandales encourant sa jambe dans l'air.,0
Un petit chien saute au-dessus d'une roche.,Un petit chien saute au-dessus d'un obstacle rayé.,1
Une fille a tiré un ange sur son chien.,"Une fille s'éloigne de son uvre d'art, qui consiste en un ange avec un visage désagréable.",2
Une femme donne fréquemment à un homme une décote,Une jeune femme donne une découpe à un homme à drape rose.,1
Le kisse est passionnant,"Un couple se kisse, alors que les gens attendent dans la rue, près d'un édifice pourpre en arrière-plan.",1
L'homme est assis à une table.,Guy en veste bleue et en chapeau standing devant un type de machinerie tout en mettant en scène un grand sourire.,2
Les garçons sont à l'extérieur.,"Deux jeunes garçons jouent à l'extérieur d'un lac, jetant des roches dans l'eau.",0
L'auditoire regarde un clown le long de la rue faire quelques trucs.,Une foule de gens regardent un interprète de rue faire un truc avec un bâton de pogo.,1
Un garçon assis et joue avec des roches.,Un petit garçon à châssis vert s'envole sur une roche.,2
Les femmes exécutent leur routine de danse.,Deux femmes ayant des coiffures ornées semblent danser.,0
l’abeille se prépare à recueillir du pollen,Une abeille arrière sur les fleurs blanches.,1
Un homme ayant une barbe est chef à l'IHOP,Un grand homme oursé flipe une crepe ou un omelet à mi-air avec sa poêle de friture.,1
L'homme travaille sur le filet.,Un homme ajuste un filet de moustiques.,0
Barber est une personne sincère dans sa profession.,Un barbeur dans une chemise noire coupant soigneusement les cheveux d'un jeune garçon.,0
Jouer de la fetche avec ses jouets d'eau préférés.,Un chien brun saute dans une piscine.,1
Le surfer prend une pause à un stand alimentaire.,Un surfer sur un surfboard se prépare à prendre une vague.,2
L'enfant a dix pieds de hauteur,Un petit enfant ayant des baies sur sa bouche.,2
Trois femmes et deux filles examinent les marchandises dans une librairie.,Deux femmes et deux filles examinent les marchandises dans une librairie.,2
Personnes à l'extérieur de la lutte.,Deux hommes en uniforme bleu et rouge participent à un sport de lutte sur un terrain.,0
Les hommes font des fenêtres sales.,"Une rue ville d'édifices de style Tudor, avec des boutiques au rez-de-chaussée, avec cinq lavabos de fenêtres sur les échelles.",2
Un homme cherche un jouet fixé dans un arbre.,L'homme dans une veste à tan et les jeans s'inclinent avec un jouet entre ses jambes.,2
Un chien mange une banane.,Un homme en vêtements blancs et une ceinture orange se trouvent dans une charrette avec un garçon en jeans bleus et regardent sur une grosse cheminée de produits ronds verts.,2
Deux saumons d'or empruntent des vélos dans un gigantesque pieux de pommes de terre.,Une petite fille est assise sur une chaise ou couche avec sa tête sur le bras.,2
Un homme se dresse dans une prometteuse.,Les femmes se promenent dans la rue.,2
La fille se prépare à sa grande vitrine de gymnastique dimanche.,Une jeune fille fait de la gymnastique à mi-air.,1
Une femme et un homme avec un gang de chidren.,Une femme et un homme ayant un enfant au centre d'un cercle d'enfants.,0
Deux adultes discutent de la nature d'un nouveau manuel,"Deux hommes, un noir, un blanc, tiennent des livres et parlent.",1
Le poisson sera leur dîner ce soir.,L'homme et la femme pêchent dans l'océan.,1
Un joueur de football plonge dans la boue pour prendre la balle gagnante.,Un joueur de football portant un uniforme orange souriant et portant le football.,2
Les enfants jouent à l'extérieur.,Plusieurs enfants en costumes se trouvent dans une pièce foncée et deux d'entre eux tiennent des cordes dans l'air.,2
Trois personnes siègent dans un restaurant italien,Trois personnes se trouvent en ligne en attendant d'acheter quelque chose à manger à un kiosque équitable vendant le Famous Louisiana Sausage's (sic) de Martins.,2
Deux hommes sont à l'épaule.,Deux hommes sur des chevaux courent autour de l'anneau en essayant d'embarrasser un jeune veau.,0
Le chien capte le biscuit d'aiguillage.,Un chien est sur le point de prendre un trait dans sa bouche.,1
Un homme qui détient une carte pour un truc magique.,Un homme tient une carte à sa tête.,1
Le garçon fait la publicité de son stand de citronade.,Un garçon vendant de la citronade à un prix de 1 $ emprunte sa bicyclette sans mains en faisant la publicité de son produit à une longue gamme de personnes.,0
une personne se trouvant dans une entrée du couloir,Une personne en manteau orange et un capuchon se trouve au sommet du corridor d'entrée du métro.,2
"Deux hommes se battent sur le sol, l'un est plongé au sol, et il s'agit d'une douleur.","Deux hommes se battent, l'un a l'autre placé sur le sol et l'homme sur le sol s'ennuie.",0
Un jeune couple reposant après une nuit de fête.,Deux personnes dorment sur un banc de parc.,1
Il y a plus d'un pigeon.,De nombreux pigeons sont surpeuplés autour des pieds d'une femme dans un dessus-citerne bleu et des jeans bleus rompus.,0
L'homme s'assiste au sol dans son jardin.,Un homme en châssis blanc marche dans l'herbe haute et porte un bâton.,2
Nous devrions continuer à utiliser des voitures et de longues distances pour les voyages parce que les villes n'ont pas besoin d'immeubles de type mall géant.,"Les villes doivent être remplacées par une nouvelle idée telle qu'un immeuble de type mall de grande taille, sans besoin de déplacements ou de voitures.",2
Une fille à cheveux rouge est dans une piscine.,Une petite fille à cheveux rouge souffle des bulles dans l'eau d'une piscine.,0
Un petit garçon chante.,Un petit garçon montre sa valise de jouets.,2
Un homme joue un jeu,Un homme qui joue un jeu comme Jenga sur une table de cuisine dans une salle à manger.,0
"Groupe de femmes âgées portant des vêtements pourpre et rouge, des bijoux de poivrons de chili et de grands sombreros, à l'extérieur.","Groupe de femmes âgées portant des vêtements pourpre et rouge, des bijoux de poivrons de chili et de gros sombreros, assis sur un banc de briques.",1
Un papillon descend sur un champ.,Un snowboardeur s'envole dans l'air.,2
Il y a une personne qui regarde les autres escalades.,Une personne portant une chemise bleue et des pantalons de khaki montant dans un arbre.,2
Les hommes parlent,"Plusieurs personnes sont vues d'au-dessus, parlant en sombre.",1
4 surs jouent de la corde de saut.,"Quatre filles en chemises oranges jouent ensemble la corde de saut, tandis que d'autres filles font de même dans d'autres groupes derrière elles.",1
Le chien est à l'extérieur.,Le chien se promène dans l'eau et le soleil souffle une réflexion sur l'eau.,0
L'enfant se cache de son père,Un enfant se cache dans une grottes créée par des quantités massives de neige.,1
La petite-fille et le grand-mère se trouvent à Mcdonalds.,La grand-mère tient à sa petite-fille adorablee dans une feuille de fleurs brune.,2
Le caissier est très occupé au travail.,Un travailleur dans le magasin d'alcool.,1
Les femmes jouent de la musique parce qu'elles sont dans une bande.,Femmes portant des longs chemises jouant de la musique.,1
Une foule traverse une intersection occupée.,Une foule marche à travers la rue à une intersection occupée avec de nombreuses voitures et de nombreuses publicités.,0
Un homme roule un vélo de terre en Californie.,Un homme emprunte un vélo de terre dans la brosse.,1
Les femmes dorment.,Il y a des femmes dans les costumes de la fête du Saint-Patrick,2
Une fille ne fait pas de gymnastique.,Une fille fait la gymnastique sur un faisceau d'équilibre sur la plage avec un parc d'agrément et des gens dans l'arrière-plan.,2
Il se tient et parle,Un homme installe une fenêtre en verre de tôle.,2
Le chien est noir.,Un chien jaune traverse l'herbe.,1
Un homme a jeté une balle vers son chien.,Un homme qui vient de jeter un ballon dans un grand champ.,1
Un rideur motocross travaille sur le moteur de son vélo dans un stade à mesure que le soleil s'éclaire.,Un rideur motocross effectue un coup dans l'air dans un stade à mesure que le soleil s'éclaire.,2
L'enfant est à l'extérieur.,Un enfant souriant tourne sur un swing.,0
Les gens sont à l'extérieur.,Un garçon et une fille tournent sur un swing dans un parc.,0
Un homme sauve un autre homme d'une voiture.,Un homme sauve un autre homme d'un bateau.,2
Trois copains naviguent dans des voitures de patrouille.,Deux officiers de police se trouvent à côté d'un autre officier assis sur une motocyclette.,2
Les hommes possèdent des tiges de pêche.,Deux hommes ayant des tiges de pêche se trouvent sur une rive.,0
L'homme ayant le bras et la canne à marcher a été victime d'un accident de voiture la semaine dernière.,"Un homme doté d'un bras et d'une canne à marcher sur une promenade pavée à un vert du parc, un homme plus âgé se tient directement derrière lui et deux autres personnes se trouvent sur l'herbe lointaine.",1
Le snowboardeur porte une veste noire.,Un snowboardeur seul portant une veste blanche sautant dans l'air dans les montagnes neigées.,2
Deux hommes en chemises de robe chantent ensemble.,Deux hommes en chemise et en tenue de microphones chantent ensemble.,0
Certaines personnes vont acheter de la soude au magasin,Un groupe d'adolescents qui attendent à l'extérieur d'un magasin pour aller à l'intérieur.,1
Les ballons sont rouges.,Une femme musulmane qui tient des ballons à un événement islamique,1
Un groupe de surfeurs tentant de capturer des vagues dans les eaux océaniques de rouigh.,Un groupe de surfeurs en combinaisons humides tente de capturer une vague.,1
Les vélos sont colorés en,La photo a été modifiée pour être noir et blanc avec des éclaircissements de couleur sur les vélos.,0
Une femme attend son chien pour trouver la balle.,Un chien noir roule dans une cour tandis qu’une femme observe,1
Le chien cherche des canards.,Le chien noir marche à travers l'herbe haute.,1
Une personne saute sur un trampoline.,Un lave-feu nettoye les fenêtres de la librairie.,2
Une femme fait raser un chat.,Une femme brisant un chien noir et blanc.,2
Un homme est assis à côté de sa Corvette jaune à mesure que la famille l'emporte sur la crème glacée.,"Un homme est assis sur un barrage en béton avec sa bicyclette à son côté, tandis qu'un autre homme marche vers lui gardant la main d'une jeune fille et portant un bébé dans un paquet avant.",2
